index,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
13222,McCordsville,McCordsville,39.8967,-85.9208,United States,US,USA,Indiana,,6838.0,1840009526
13223,Beacon Square,Beacon Square,28.2118,-82.7504,United States,US,USA,Florida,,6837.0,1840028798
13224,Makawao,Makawao,20.848,-156.319,United States,US,USA,Hawaii,,6832.0,1840023236
13225,Cochituate,Cochituate,42.329,-71.3576,United States,US,USA,Massachusetts,,6832.0,1840003129
13226,Clover Creek,Clover Creek,47.1404,-122.3827,United States,US,USA,Washington,,6831.0,1840041920
13227,Russellville,Russellville,36.8394,-86.895,United States,US,USA,Kentucky,,6823.0,1840014401
13228,North Bend,North Bend,47.4898,-121.7738,United States,US,USA,Washington,,6821.0,1840019833
13229,Kingsland,Kingsland,30.6651,-98.4545,United States,US,USA,Texas,,6818.0,1840018217
13230,Mount Vernon,Mount Vernon,37.9364,-87.8955,United States,US,USA,Indiana,,6813.0,1840013884
13231,Bath,Bath,42.3363,-77.318,United States,US,USA,New York,,6812.0,1840004559
13232,Litchfield,Litchfield,39.1963,-89.6288,United States,US,USA,Illinois,,6810.0,1840009601
13233,Loomis,Loomis,38.8093,-121.1955,United States,US,USA,California,,6809.0,1840021462
13234,Mount Ivy,Mount Ivy,41.1926,-74.0297,United States,US,USA,New York,,6808.0,1840004962
13235,Roslyn Heights,Roslyn Heights,40.7787,-73.6396,United States,US,USA,New York,,6802.0,1840005254
13236,Village St. George,Village St. George,30.3598,-91.0672,United States,US,USA,Louisiana,,6802.0,1840031109
13237,Cortland,Cortland,41.332,-80.7195,United States,US,USA,Ohio,,6800.0,1840007128
13238,Lake Mills,Lake Mills,43.0774,-88.9055,United States,US,USA,Wisconsin,,6799.0,1840003003
13240,Fircrest,Fircrest,47.2308,-122.5157,United States,US,USA,Washington,,6794.0,1840019854
13241,Hondo,Hondo,29.3532,-99.1621,United States,US,USA,Texas,,6794.0,1840020963
13242,Kimberly,Kimberly,44.267,-88.3377,United States,US,USA,Wisconsin,,6790.0,1840002404
13243,East Shoreham,East Shoreham,40.946,-72.8812,United States,US,USA,New York,,6788.0,1840034048
13244,Byron,Byron,42.1273,-89.2622,United States,US,USA,Illinois,,6783.0,1840007021
13245,Barrington,Barrington,39.8689,-75.0514,United States,US,USA,New Jersey,,6781.0,1840003771
13246,Colusa,Colusa,39.2049,-122.0096,United States,US,USA,California,,6781.0,1840018810
13247,Parkville,Parkville,39.786,-76.9685,United States,US,USA,Pennsylvania,,6781.0,1840005507
13248,Fort Meade,Fort Meade,27.7645,-81.8058,United States,US,USA,Florida,,6775.0,1840014134
13249,Roeland Park,Roeland Park,39.0358,-94.6374,United States,US,USA,Kansas,,6772.0,1840001640
13250,Inniswold,Inniswold,30.3982,-91.071,United States,US,USA,Louisiana,,6772.0,1840031059
13251,Bayville,Bayville,40.9077,-73.5603,United States,US,USA,New York,,6771.0,1840005336
13252,Twin Lakes,Twin Lakes,39.8229,-105.0036,United States,US,USA,Colorado,,6767.0,1840136771
13253,Taylor Mill,Taylor Mill,39.0092,-84.4988,United States,US,USA,Kentucky,,6765.0,1840015175
13254,Maple Glen,Maple Glen,40.1778,-75.1793,United States,US,USA,Pennsylvania,,6764.0,1840035082
13255,Crozet,Crozet,38.0645,-78.6962,United States,US,USA,Virginia,,6764.0,1840006280
13257,Plain City,Plain City,41.307,-112.0877,United States,US,USA,Utah,,6764.0,1840020136
13258,Youngtown,Youngtown,33.5846,-112.3047,United States,US,USA,Arizona,,6760.0,1840022917
13259,Homeacre-Lyndora,Homeacre-Lyndora,40.8721,-79.9211,United States,US,USA,Pennsylvania,,6760.0,1840073691
